Rectangle's Area,Returned Records,R* Time(ms),Sequential Scan Time(ms)
0.00012,0,16.3693,443.9615
0.00048,6,2.8756,211.508
0.00109,58,2.953,209.4316
0.00194,370,5.1226,196.8917
0.00303,614,8.5021,190.9581
0.00436,980,9.6582,185.8741
0.00593,1574,11.3846,182.8061
0.00774,2207,13.7329,189.4388
0.00980,3176,15.7195,180.6919
0.01210,4126,18.9967,181.0914
0.01464,4916,22.0609,182.1626
0.01742,5982,29.0661,184.8512
0.02045,7400,33.1188,193.336
0.02372,8887,40.0834,189.0044
0.02723,10871,48.2163,192.2361
0.03098,12487,50.6502,185.7848
0.03497,14646,60.5871,192.5513
0.03920,17036,74.72,181.7793
0.04368,19340,83.7917,184.717
0.04840,21127,105.2804,212.4636
0.05336,22992,88.1375,186.8852
0.05856,25762,95.2173,184.679
0.06401,28236,100.3586,179.2804
0.06970,30773,114.8731,190.249
0.07563,33788,128.43,189.0301
0.08180,36688,132.4334,179.1424
0.08821,39913,140.1774,185.0813
0.09486,42973,154.1074,197.9041
0.10176,46893,169.96,181.5243
0.10890,51155,179.5124,180.843
0.11628,55421,193.6159,181.5277
0.12390,59256,199.568,189.1733
0.13177,62665,219.3404,189.3651
0.13988,65757,232.1747,186.1122
0.14823,68942,237.3456,186.88
0.15682,72164,247.9204,184.205
0.16565,75515,252.3926,183.742
0.17472,78566,261.1092,186.6389
0.18404,81692,274.118,184.5488
0.19360,84627,282.3233,182.0222
0.20340,87498,292.4748,181.9941
0.21344,89600,299.3737,184.6433
0.22373,91317,318.7015,181.6769
0.23426,93130,305.7995,182.2675
0.24503,94744,309.6965,185.3538
0.25604,96869,325.251,191.2787
0.26729,98484,361.0793,187.3211
0.27878,100407,332.1531,180.6593
0.29052,102125,327.3039,184.4679
0.30250,103751,337.1765,189.1369
0.31472,105151,349.0226,191.2498
0.32718,107073,341.2793,195.5402
0.33989,109073,373.4353,207.7889
0.35284,110885,371.7477,194.0852
0.36603,112419,358.9695,193.1234
0.37946,113912,368.2325,181.8865
0.39313,115668,370.5183,186.1434
0.40704,117297,375.1181,185.8801
0.42120,119140,409.6822,196.1515
0.43560,120772,398.7721,208.4939
0.45024,122541,413.5294,193.6204
0.46512,124031,403.8702,190.8461
0.48025,125008,399.2137,189.1365
0.49562,126318,409.0021,200.4635
0.51123,128049,407.8186,188.5976
0.52708,129609,442.7763,188.5581
0.54317,131335,448.4778,185.3098
0.55950,133104,432.6794,191.6948
0.57608,135345,439.4391,184.4193
0.59290,137084,447.2246,180.6856
0.60996,138776,438.6634,181.5984
0.62726,140503,445.0156,180.5284
0.64481,142018,450.9163,181.1195
0.66260,143217,455.8512,189.9594
0.68063,144523,455.0186,197.0327
0.69890,145738,474.3777,186.6054
0.71741,146856,468.9106,187.9013
0.73616,148134,484.6617,187.8144
0.75516,149462,485.1573,185.1349
0.77440,151170,479.5303,181.1417
0.79388,152851,494.8439,185.3908
0.81360,154312,490.5579,193.2162
0.83357,156041,497.1578,183.9365
0.85378,157827,516.3078,181.3383
0.87423,159788,501.438,181.69
0.89492,161265,502.8525,178.9022
0.91585,163044,524.6945,197.8685
0.93702,165001,534.3688,204.6013
0.95844,166903,636.2435,194.6621
0.98010,168558,575.9231,193.5308
1.00200,170588,635.2968,192.9399
1.02414,172805,563.9512,184.9631
1.04653,174989,557.7066,184.4125
1.06916,178007,571.5174,190.8035
1.09203,181814,603.0684,188.2059
1.11514,184212,602.4943,202.0862
1.13849,185748,648.5809,184.6881
1.16208,187713,631.5585,192.3064
1.18592,189431,606.5322,184.0367
